key,targetInstitution,targetInstitutionKey,fullName,positionAbbr,currentInstitution,currentInstitutionKey,currentInstitutionStateAbbreviation,currentInstitutionCity,firstName,lastName,stateAbbreviation,playerImage,starRating,groupRank,positionRank,stateRank,formattedHeight,weight
46137128,MICH,24042,Yaxel Lendeborg,PF,UAB,24059,AL,Birmingham,Yaxel,Lendeborg,NJ,https://s3media.247sports.com/Uploads/Assets/46/44/12044046.jpeg,5,1,1,1,6-9,230.0
46102421,KSST,24023,PJ Haggerty,PG,MEM,24053,TN,Memphis,PJ,Haggerty,TX,https://s3media.247sports.com/Uploads/Assets/985/722/12722985.jpg,5,2,1,1,6-3,191.0
46156598,IOWA,24041,Bennett Stirtz,PG,DRAKE,24218,IA,Des Moines,Bennett,Stirtz,MO,https://s3media.247sports.com/Uploads/Assets/832/950/12950832.jpeg,5,3,2,1,6-4,180.0
46117555,UCLA,24093,Donovan Dent,PG,UNM,24081,NM,Albuquerque,Donovan,Dent,CA,https://s3media.247sports.com/Uploads/Assets/442/730/12730442.jpg,5,4,3,1,6-2,185.0
46129312,NCST,24015,Darrion Williams,PF,TTECH,24030,TX,Lubbock,Darrion,Williams,NV,https://s3media.247sports.com/Uploads/Assets/418/33/13033418.jpeg,5,5,2,1,6-6,225.0
46114866,UF,24099,Boogie Fland,CG,ARK,24097,AR,Fayetteville,Boogie,Fland,NY,https://s3media.247sports.com/Uploads/Assets/47/716/12716047.jpg,5,6,1,1,6-2,175.0
46111723,St. John's,24309,Ian Jackson,SG,UNC,24014,NC,Chapel Hill,Ian,Jackson,NY,https://s3media.247sports.com/Uploads/Assets/628/644/12644628.png,5,7,1,1,6-4,190.0
46129001,BYU,24079,Rob Wright III,PG,BAY,24019,TX,Waco,Rob,Wright III,FL,https://s3media.247sports.com/Uploads/Assets/234/720/12720234.jpg,5,8,4,2,6-1,183.0
46142985,LOU,24033,Adrian Wooley,CG,Kennesaw State,24363,GA,Kennesaw,Adrian,Wooley,AL,https://s3media.247sports.com/Uploads/Assets/555/11/13011555.jpg,5,9,2,1,6-5,180.0
46131379,KY,24101,Jayden Quaintance,C,AZST,24088,AZ,Tempe,Jayden,Quaintance,NC,https://s3media.247sports.com/Uploads/Assets/534/29/13029534.jpg,5,10,1,1,6-9,230.0
46141075,CIN,24031,Moustapha Thiam,C,UCF,24060,FL,Orlando,Moustapha,Thiam,SENE,https://s3media.247sports.com/Uploads/Assets/767/720/12720767.jpg,4,11,2,1,7-2,235.0
46127914,TENN,24106,Ja'Kobi Gillespie,PG,MARY,24012,MD,College Park,Ja'Kobi,Gillespie,TN,https://s3media.247sports.com/Uploads/Assets/498/718/12718498.jpg,4,12,5,1,6-1,186.0
46127714,UCONN,24032,Silas Demary Jr.,CG,UGA,24100,GA,Athens,Silas,Demary Jr.,NC,https://s3media.247sports.com/Uploads/Assets/26/18/12018026.jpeg,4,13,3,2,6-5,190.0
46118010,LOU,24033,Ryan Conwell,CG,Xavier,24316,OH,Cincinnati,Ryan,Conwell,IN,https://s3media.247sports.com/Uploads/Assets/83/709/12709083.jpg,4,14,4,1,6-4,215.0
46116819,LSU,24102,Dedan Thomas Jr.,PG,UNLV,24084,NV,Las Vegas,Dedan,Thomas Jr.,NV,https://s3media.247sports.com/Uploads/Assets/687/48/12048687.jpeg,4,15,6,1,6-1,170.0
46059170,St. John's,24309,Bryce Hopkins,PF,PROV,24308,RI,Providence,Bryce,Hopkins,IL,https://s3media.247sports.com/Uploads/Assets/852/707/12707852.jpg,4,16,3,1,6-7,220.0
46125439,AUB,24098,Keyshawn Hall,SF,UCF,24060,FL,Orlando,Keyshawn,Hall,OH,https://s3media.247sports.com/Uploads/Assets/785/720/12720785.jpg,4,17,1,2,6-7,235.0
46086079,IND,24040,Tucker DeVries,SF,WVU,24038,WV,Morgantown,Tucker,DeVries,IA,https://s3media.247sports.com/Uploads/Assets/942/989/12989942.jpeg,4,18,2,1,6-7,220.0
46093946,Creighton,24343,Josh Dix,SG,IOWA,24041,IA,Iowa City,Josh,Dix,IA,https://s3media.247sports.com/Uploads/Assets/92/730/12730092.jpg,4,19,2,2,6-6,210.0
46097950,LOU,24033,Isaac McKneely,SG,UVA,24016,VA,Charlottesville,Isaac,McKneely,WV,https://s3media.247sports.com/Uploads/Assets/464/345/12345464.png,4,20,3,1,6-4,170.0
46150103,USC,24257,Chad Baker-Mazara,SF,AUB,24098,AL,Auburn,Chad,Baker-Mazara,DOMI,https://s3media.247sports.com/Uploads/Assets/283/443/12443283.jpg,4,21,3,2,6-7,180.0
46134208,St. John's,24309,Joson Sanon,SG,AZST,24088,AZ,Tempe,Joson,Sanon,VT,https://s3media.247sports.com/Uploads/Assets/272/719/12719272.jpg,4,22,4,2,6-5,188.0
46148869,TTECH,24030,LeJuan Watts,SG,WSU,24095,WA,Pullman,LeJuan,Watts,CA,https://s3media.247sports.com/Uploads/Assets/57/706/12706057.jpg,4,23,5,1,6-6,233.0
46102823,WASH,24094,Wesley Yates III,CG,USC,24257,CA,Los Angeles,Wesley,Yates III,TX,https://s3media.247sports.com/Uploads/Assets/100/722/12722100.jpg,4,24,5,1,6-4,200.0
46097210,USC,24257,Rodney Rice,SG,MARY,24012,MD,College Park,Rodney,Rice,MD,https://s3media.247sports.com/Uploads/Assets/505/718/12718505.jpg,4,25,6,2,6-4,198.0
46115307,MICH,24042,Morez Johnson Jr.,PF,ILL,24039,IL,Champaign,Morez,Johnson Jr.,IL,https://s3media.247sports.com/Uploads/Assets/264/718/12718264.jpg,4,26,4,1,6-9,255.0
46134016,UNC,24014,Henri Veesaar,C,ARIZ,24087,AZ,Tucson,Henri,Veesaar,ESTO,https://s3media.247sports.com/Uploads/Assets/803/772/12772803.jpeg,4,27,3,3,7-0,235.0
46054952,AUB,24098,KeShawn Murphy,PF,MSST,24104,MS,Starkville,KeShawn,Murphy,AL,https://s3media.247sports.com/Uploads/Assets/663/31/13031663.jpeg,4,28,5,1,6-10,230.0
46156002,UF,24099,Xaivian Lee,PG,PRTN,24169,NJ,Princeton,Xaivian,Lee,PA,https://s3media.247sports.com/Uploads/Assets/981/921/12921981.png,4,29,7,1,6-4,180.0
46097677,OKLA,24026,Xzayvier Brown,PG,Saint Joseph's,24323,PA,Philadelphia,Xzayvier,Brown,PA,https://s3media.247sports.com/Uploads/Assets/528/41/12041528.jpeg,4,30,8,1,6-2,165.0
46102817,WASH,24094,Desmond Claude,PG,USC,24257,CA,Los Angeles,Desmond,Claude,CT,https://s3media.247sports.com/Uploads/Assets/108/722/12722108.jpg,4,31,9,2,6-6,205.0
46117544,ILL,24039,Andrej Stojakovic,SF,CAL,24089,CA,Berkeley,Andrej,Stojakovic,CA,https://s3media.247sports.com/Uploads/Assets/200/709/12709200.jpg,4,32,4,3,6-7,205.0
46115861,MARY,24012,Pharrel Payne,C,TAMU,24029,TX,College Station,Pharrel,Payne,MN,https://s3media.247sports.com/Uploads/Assets/10/717/12717010.jpg,4,33,4,3,6-9,250.0
46133023,OKLA,24026,Derrion Reid,SF,BAMA,24096,AL,Tuscaloosa,Derrion,Reid,CA,https://s3media.247sports.com/Uploads/Assets/871/612/12612871.jpeg,4,34,5,3,6-8,220.0
46149166,BAY,24019,Michael Rataj,PF,ORST,24091,OR,Corvallis,Michael,Rataj,GERM,https://s3media.247sports.com/Uploads/Assets/232/406/12406232.png,4,35,6,1,6-7,220.0
46112760,KY,24101,Jaland Lowe,PG,PITT,24034,PA,Pittsburgh,Jaland,Lowe,TX,https://s3media.247sports.com/Uploads/Assets/88/715/12715088.jpg,4,36,10,2,6-3,160.0
46110067,Creighton,24343,Owen Freeman,C,IOWA,24041,IA,Iowa City,Owen,Freeman,IL,https://s3media.247sports.com/Uploads/Assets/83/985/12985083.jpeg,4,37,5,3,6-10,220.0
46137491,PUR,24048,Oscar Cluff,C,SDST,24185,SD,Brookings,Oscar,Cluff,AUST,https://s3media.247sports.com/Uploads/Assets/867/952/12952867.jpeg,4,38,6,1,6-11,260.0
46054929,OKLA,24026,Nijel Pack,PG,MIA,24013,FL,Coral Gables,Nijel,Pack,IN,https://s3media.247sports.com/Uploads/Assets/91/677/12677091.jpg,4,39,11,3,6-0,185.0
46156630,BAY,24019,Obi Agbim,SG,WYO,24086,WY,Laramie,Obi,Agbim,CO,https://s3media.247sports.com/Uploads/Assets/477/952/12952477.jpeg,4,40,7,1,6-3,180.0
46143288,ILL,24039,Zvonimir Ivisic,C,ARK,24097,AR,Fayetteville,Zvonimir,Ivisic,CROA,https://s3media.247sports.com/Uploads/Assets/231/716/12716231.jpg,4,41,7,2,7-2,235.0
46130914,KY,24101,Kam Williams,SF,TLNE,24057,LA,New Orleans,Kam,Williams,LA,https://s3media.247sports.com/Uploads/Assets/882/723/12723882.jpg,4,42,6,1,6-8,190.0
46116050,TEX,24028,Dailyn Swain,SF,Xavier,24316,OH,Cincinnati,Dailyn,Swain,OH,https://s3media.247sports.com/Uploads/Assets/52/709/12709052.jpg,4,43,7,2,6-8,220.0
46058747,TAMU,24029,Pop Isaacs,PG,Creighton,24343,NE,Omaha,Pop,Isaacs,NV,https://s3media.247sports.com/Uploads/Assets/379/724/12724379.jpg,4,44,12,1,6-2,180.0
46148106,IND,24040,Lamar Wilkerson,SG,SHSU,24237,TX,Huntsville,Lamar,Wilkerson,AR,https://s3media.247sports.com/Uploads/Assets/495/938/12938495.jpeg,4,45,8,4,6-5,195.0
46140859,MICH,24042,Aday Mara,C,UCLA,24093,CA,Los Angeles,Aday,Mara,SPAI,https://s3media.247sports.com/Uploads/Assets/527/27/12027527.jpeg,4,46,8,4,7-3,240.0
